Carimbo de data/hora,Which reply would you send?,Which reply would you send?,Which reply would you send?,Which reply would you send?,Which reply would you send?,Which reply would you send?,Which reply would you send?
,,,,,,,
18/06/2026 18:12:52,Option B,Option B,Option B,Option B,Option B,Option A,Option B
20/06/2026 15:38:20,Option B,Option A,Option A,Option B,Option B,Option A,Option A
20/06/2026 16:35:39,Option A,Option A,Option B,Option B,Option B,Option B,Option B
20/06/2026 16:42:21,Option A,Option B,Option A,Option B,Option B,Option A,Option B
20/06/2026 17:19:40,Option A,Option A,Option A,Option B,Option A,Option A,Option B
20/06/2026 18:22:45,Option B,Option A,Option B,Option B,Option B,Option A,Option A
20/06/2026 18:52:41,Option B,Option B,Option B,Option B,Option B,Option A,Option B
13/07/2026 20:13:03,Option A,Option A,Option A,Option B,Option A,Option A,Option B
13/07/2026 20:34:51,Option A,Option A,Option A,Option B,Option B,Option A,Option A
14/07/2026 12:36:40,Option B,Option B,Option B,Option B,Option B,Option A,Option B
14/07/2026 15:53:42,Option B,Option B,Option A,Option A,Option B,Option B,Option B
20/07/2026 14:46:05,Option B,Option B,Option B,Option B,Option B,Option B,Option B
20/07/2026 21:26:36,Option B,Option B,Option A,Option B,Option B,Option B,Option A
20/07/2026 21:32:05,Option B,Option A,Option A,Option B,Option B,Option A,Option B
20/07/2026 22:38:47,Option A,Option A,Option B,Option B,Option A,Option B,Option A
20/07/2026 23:31:11,Option A,Option A,Option A,Option A,Option B,Option B,Option A
21/07/2026 08:10:48,Option B,Option B,Option B,Option A,Option A,Option B,Option B
21/07/2026 19:41:30,Option A,Option A,Option B,Option A,Option B,Option B,Option A
21/07/2026 20:05:24,Option A,Option B,Option A,Option B,Option B,Option B,Option A
25/07/2026 22:07:00,Option A,Option A,Option A,Option B,Option A,Option B,Option B
26/07/2026 00:57:47,Option B,Option A,Option B,Option B,Option B,Option A,Option B
21/08/2026 18:47:12,Option A,Option A,Option A,Option B,Option A,Option A,Option B
27/08/2026 14:30:44,Option A,Option A,Option A,Option B,Option A,Option A,Option A
01/09/2026 10:31:31,Option A,Option B,Option A,Option B,Option B,Option A,Option B
01/09/2026 10:32:06,Option B,Option A,Option B,Option B,Option B,Option A,Option B
01/09/2026 10:32:32,Option A,Option B,Option A,Option B,Option B,Option A,Option B
01/09/2026 10:32:58,Option B,Option A,Option B,Option B,Option A,Option B,Option A
01/09/2026 10:33:23,Option A,Option A,Option A,Option B,Option A,Option A,Option A
01/09/2026 10:33:46,Option B,Option B,Option B,Option B,Option B,Option B,Option B
01/09/2026 10:34:49,Option A,Option A,Option A,Option B,Option A,Option A,Option A
01/09/2026 10:35:11,Option A,Option A,Option A,Option B,Option A,Option A,Option A
01/09/2026 10:35:33,Option A,Option A,Option A,Option B,Option A,Option A,Option A
01/09/2026 10:36:43,Option B,Option B,Option B,Option B,Option A,Option B,Option A
01/09/2026 10:37:24,Option B,Option B,Option B,Option B,Option A,Option B,Option A
01/09/2026 10:37:53,Option B,Option B,Option B,Option A,Option B,Option A,Option A
01/09/2026 10:38:12,Option B,Option B,Option B,Option B,Option A,Option B,Option A
