id,size,category_gold,score_gold,local_pred_category,local_agree,local_correct,local_score_mean,local_score_err,cloud_pred_category,cloud_agree,cloud_correct,cloud_score_mean,cloud_score_err
239957,small,work,0.7,urgent,3/3,False,0.9,0.2,work,3/3,True,0.7,0.0
230660,small,work,0.5,work,2/3,True,0.633,0.133,work,3/3,True,0.7,0.2
work_1,small,work,0.2,newsletter,2/3,False,0.3,0.1,work,2/3,True,0.3,0.1
work_2,small,work,0.4,urgent,3/3,False,0.9,0.5,urgent,3/3,False,0.817,0.417
work_3,small,work,1.0,urgent,3/3,False,0.95,0.05,urgent,3/3,False,1.0,0.0
work_4,small,work,0.3,work,3/3,True,0.6,0.3,work,3/3,True,0.3,0.0
work_5,small,work,0.5,work,3/3,True,0.7,0.2,work,3/3,True,0.667,0.167
work_6,small,work,0.7,urgent,2/3,False,0.767,0.067,urgent,3/3,False,0.9,0.2
work_7,small,work,0.9,urgent,3/3,False,0.967,0.067,urgent,3/3,False,1.0,0.1
work_8,small,work,0.8,work,2/3,True,0.8,0.0,urgent,3/3,False,0.95,0.15
175336,medium,work,0.5,work,3/3,True,0.5,0.0,work,3/3,True,0.4,0.1
162902,medium,work,0.8,urgent,3/3,False,0.9,0.1,urgent,2/3,False,0.833,0.033
work_9,medium,work,0.1,newsletter,3/3,False,0.267,0.167,newsletter,3/3,False,0.3,0.2
work_10,medium,work,0.4,urgent,3/3,False,0.9,0.5,work,3/3,True,0.6,0.2
work_11,medium,work,0.9,urgent,3/3,False,0.933,0.033,promotional,3/3,False,0.1,0.8
work_12,medium,work,0.3,work,3/3,True,0.467,0.167,work,3/3,True,0.3,0.0
work_13,medium,work,0.5,work,3/3,True,0.6,0.1,work,3/3,True,0.6,0.1
work_14,medium,work,0.7,urgent,3/3,False,0.9,0.2,urgent,3/3,False,0.95,0.25
work_15,medium,work,0.8,urgent,3/3,False,0.9,0.1,urgent,3/3,False,0.95,0.15
work_16,medium,work,0.9,urgent,3/3,False,0.967,0.067,urgent,3/3,False,0.977,0.077
137627,large,work,0.7,work,3/3,True,0.667,0.033,work,3/3,True,0.4,0.3
136551,large,work,0.8,urgent,3/3,False,0.9,0.1,urgent,3/3,False,0.85,0.05
work_17,large,work,0.1,work,3/3,True,0.6,0.5,work,3/3,True,0.367,0.267
work_18,large,work,0.4,urgent,3/3,False,0.9,0.5,urgent,3/3,False,0.84,0.44
work_19,large,work,1.0,urgent,3/3,False,0.95,0.05,urgent,3/3,False,0.767,0.233
work_20,large,work,0.3,work,3/3,True,0.4,0.1,work,3/3,True,0.4,0.1
work_21,large,work,0.5,work,3/3,True,0.733,0.233,work,3/3,True,0.6,0.1
work_22,large,work,0.8,urgent,3/3,False,0.917,0.117,urgent,3/3,False,0.95,0.15
work_23,large,work,0.9,urgent,3/3,False,0.95,0.05,urgent,3/3,False,0.973,0.073
work_24,large,work,0.7,urgent,3/3,False,0.917,0.217,urgent,3/3,False,0.95,0.25
175736,small,personal,0.3,personal,2/3,True,0.333,0.033,work,3/3,False,0.3,0.0
175318,small,personal,0.3,personal,3/3,True,0.333,0.033,personal,3/3,True,0.3,0.0
